name,time/op (ns/op),±
/512x512x100-1-12,3.62067E+09,6%
/512x512x100-2-12,1.88858E+09,1%
/512x512x100-3-12,1.34819E+09,0%
/512x512x100-4-12,1.11953E+09,1%
/512x512x100-5-12,1.07777E+09,3%
/512x512x100-6-12,1.02728E+09,2%
/512x512x100-7-12,9.66778E+08,2%
/512x512x100-8-12,9.13802E+08,2%
/512x512x100-9-12,8.50709E+08,3%
/512x512x100-10-12,8.74761E+08,5%
/512x512x100-11-12,9.24190E+08,7%
/512x512x100-12-12,9.68420E+08,8%
/512x512x100-13-12,9.12902E+08,3%
/512x512x100-14-12,8.94203E+08,1%
/512x512x100-15-12,8.96009E+08,1%
/512x512x100-16-12,8.83238E+08,3%
